2023-02-26 17:08:15,508 | root | INFO | Length of author Id list: 100
2023-02-27 16:10:45,934 | root | INFO | Pickles saved succesfully to path pickles!
2023-02-27 16:10:45,936 | root | INFO | There were 0 faulty authorIds, which were:
2023-02-27 16:10:45,939 | root | INFO | {}
2023-02-27 16:10:45,941 | root | INFO | The author dataframe has length:
2023-02-27 16:10:45,943 | root | INFO | The paper dataframe has length:
2023-02-28 21:56:32,507 | root | INFO | Length of author Id list: 5
2023-02-28 21:56:34,429 | root | INFO | Initiating sortAuthorDataInDataframesDict
2023-02-28 21:56:37,443 | root | INFO | Code has processed 5 names.
2023-02-28 21:56:37,479 | root | INFO | Pickles saved succesfully to path pickles!
2023-02-28 21:56:37,480 | root | INFO | There were 0 faulty authorIds, which were:
2023-02-28 21:56:37,480 | root | INFO | {}
2023-02-28 21:56:37,481 | root | INFO | The author dataframe has length:
2023-02-28 21:56:37,481 | root | INFO | The paper dataframe has length:
2023-02-28 22:20:42,808 | root | INFO | Length of author Id list: 122293
2023-02-28 22:20:42,866 | root | INFO | Opened pickle with author dataframe.
2023-02-28 22:20:42,876 | root | INFO | Opened pickle with paper dataframe.
2023-02-28 22:20:42,879 | root | INFO | Opened pickle with abstract dataframe.
2023-02-28 22:20:42,880 | root | INFO | Opened pickle with checked authors of length 5.
2023-02-28 22:20:45,494 | root | INFO | Initiating sortAuthorDataInDataframesDict
2023-02-28 22:20:48,556 | root | INFO | Code has processed 100 names.
2023-02-28 22:20:51,397 | root | INFO | Initiating sortAuthorDataInDataframesDict
2023-02-28 22:20:54,674 | root | INFO | Code has processed 200 names.
2023-02-28 22:20:56,705 | root | WARNING | Request returned a message: Internal server error
2023-02-28 22:20:59,716 | root | INFO | Initiating search for faulty data with batchLength 100.
2023-02-28 22:21:02,438 | root | INFO | Initiating sortAuthorDataInDataframesDict
2023-02-28 22:21:02,443 | root | INFO | Author with id 2149065784 returned a Nonetype object.
2023-02-28 22:21:15,712 | root | INFO | Length of author Id list: 100
2023-02-28 22:21:15,723 | root | INFO | Opened pickle with author dataframe.
2023-02-28 22:21:15,726 | root | INFO | Opened pickle with paper dataframe.
2023-02-28 22:21:15,728 | root | INFO | Opened pickle with abstract dataframe.
2023-02-28 22:21:15,729 | root | INFO | Opened pickle with checked authors of length 5.
2023-02-28 22:21:18,749 | root | INFO | Initiating sortAuthorDataInDataframesDict
2023-02-28 22:21:21,955 | root | INFO | Code has processed 100 names.
2023-02-28 22:21:22,023 | root | INFO | Pickles saved succesfully to path pickles!
2023-02-28 22:21:22,023 | root | INFO | There were 0 faulty authorIds, which were:
2023-02-28 22:21:22,023 | root | INFO | {}
2023-02-28 22:21:22,024 | root | INFO | The author dataframe has length:
2023-02-28 22:21:22,024 | root | INFO | The paper dataframe has length:
2023-02-28 22:21:37,638 | root | INFO | Length of author Id list: 100
2023-02-28 22:21:37,654 | root | INFO | Opened pickle with author dataframe.
2023-02-28 22:21:37,672 | root | INFO | Opened pickle with paper dataframe.
2023-02-28 22:21:37,686 | root | INFO | Opened pickle with abstract dataframe.
2023-02-28 22:21:37,692 | root | INFO | Opened pickle with checked authors of length 105.
2023-02-28 22:21:37,721 | root | INFO | Pickles saved succesfully to path pickles!
2023-02-28 22:21:37,721 | root | INFO | There were 0 faulty authorIds, which were:
2023-02-28 22:21:37,721 | root | INFO | {}
2023-02-28 22:21:37,721 | root | INFO | The author dataframe has length:
2023-02-28 22:21:37,721 | root | INFO | The paper dataframe has length:
2023-02-28 22:22:45,538 | root | INFO | Length of author Id list: 100
2023-02-28 22:22:45,555 | root | INFO | Opened pickle with author dataframe.
2023-02-28 22:22:45,618 | root | INFO | Opened pickle with paper dataframe.
2023-02-28 22:22:45,629 | root | INFO | Opened pickle with abstract dataframe.
2023-02-28 22:22:45,630 | root | INFO | Opened pickle with checked authors of length 105.
2023-02-28 22:22:45,651 | root | INFO | Pickles saved succesfully to path pickles!
2023-02-28 22:22:45,651 | root | INFO | There were 0 faulty authorIds, which were:
2023-02-28 22:22:45,652 | root | INFO | {}
2023-02-28 22:22:45,652 | root | INFO | The author dataframe has length:
2023-02-28 22:22:45,652 | root | INFO | The paper dataframe has length:
2023-02-28 22:23:13,398 | root | INFO | Length of author Id list: 100
2023-02-28 22:23:16,750 | root | INFO | Initiating sortAuthorDataInDataframesDict
2023-02-28 22:23:19,812 | root | INFO | Code has processed 100 names.
2023-02-28 22:23:19,863 | root | INFO | Pickles saved succesfully to path pickles!
2023-02-28 22:23:19,863 | root | INFO | There were 0 faulty authorIds, which were:
2023-02-28 22:23:19,863 | root | INFO | {}
2023-02-28 22:23:19,864 | root | INFO | The author dataframe has length:
2023-02-28 22:23:19,864 | root | INFO | The paper dataframe has length:
